country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Albania,,,,,,,,,,,,0.0874,0.154,,,,,,,,,
Algeria,,,,,,0.23,0.366,0.196,0.164,0.066,,,,,,,,,,,,0.533
Argentina,0.417,0.42,0.411,0.453,0.439,0.425,0.389,0.41,0.404,0.421,0.452,0.46,0.471,0.584,0.561,0.566,0.635,0.618,0.593,0.614,0.533,
Armenia,,0.187,0.226,0.214,0.191,0.28,0.253,0.321,0.257,0.258,0.241,0.211,0.224,0.291,0.241,0.27,0.239,0.222,0.242,0.25,0.233,0.228
Australia,1.67,,1.52,,1.58,,1.75,,1.86,,2.19,,2.41,,2.38,2.24,,2.18,,1.92,,
Austria,1.58,1.65,1.73,1.85,1.89,1.99,2.07,2.17,2.17,2.37,2.36,2.42,2.57,2.6,2.73,2.67,2.91,2.95,3.07,3.05,3.09,
Azerbaijan,0.235,0.369,0.421,0.393,0.336,0.34,0.302,0.325,0.298,0.22,0.172,0.17,0.166,0.25,0.218,0.211,0.214,0.21,0.21,0.222,0.206,0.185
Bahrain,,,,,,,,,,,,,,,,,,,0.101,,,
Belarus,0.999,0.73,0.706,0.845,0.722,0.709,0.621,0.611,0.628,0.679,0.661,0.962,0.741,0.643,0.669,0.678,0.646,0.652,0.505,0.5,0.501,0.587
Belgium,1.73,1.79,1.82,1.89,1.92,2.02,1.89,1.83,1.81,1.78,1.81,1.84,1.92,1.99,2.05,2.16,2.27,2.33,2.39,2.47,2.49,
Bolivia,0.325,0.316,0.295,0.298,0.287,0.294,0.277,,,,,,,0.157,,,,,,,,
Bosnia and Herzegovina,,,,,,,,0.0185,0.0161,0.027,0.0197,0.0252,0.0184,0.0211,,,0.265,0.321,0.257,0.219,0.216,0.2
Botswana,,,,,,,,,,0.533,,,,,,,0.254,0.537,,,,
Brazil,,,,,1,1.03,0.977,0.999,0.963,1,0.988,1.08,1.13,1.12,1.16,1.14,1.13,1.2,1.27,1.34,1.27,
Brunei,,,,,,,0.0159,0.0184,0.037,,,,,,,,,,,,,
Bulgaria,0.509,0.47,0.495,0.542,0.499,0.451,0.468,0.476,0.474,0.446,0.445,0.43,0.448,0.495,0.564,0.532,0.605,0.635,0.795,0.96,0.78,
Burkina Faso,0.158,0.181,,,,0.191,0.339,0.271,0.242,0.171,,0.111,0.186,0.2,,,,,0.222,,,
Burundi,,,,,,,,,,,,0.201,0.154,0.144,0.138,0.121,,,,,,
Cambodia,,,,,,,0.0498,,,,,,,,,,,,,0.118,,
Canada,1.61,1.62,1.72,1.76,1.86,2.03,1.98,1.97,2,1.98,1.95,1.91,1.86,1.92,1.83,1.79,1.78,1.71,1.72,1.65,1.6,1.53
Cape Verde,,,,,,,,,,,,,,,,0.0726,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,0.322,
Chile,,,,,,,,,,,,0.31,0.375,0.352,0.329,0.351,0.362,0.389,0.375,0.381,0.362,
China,0.563,0.639,0.647,0.75,0.893,0.94,1.06,1.12,1.21,1.31,1.37,1.37,1.44,1.66,1.71,1.78,1.91,1.99,2.02,2.06,2.11,
Colombia,0.299,0.274,,,0.13,0.132,0.139,0.156,0.154,0.15,0.149,0.183,0.2,0.195,0.195,0.206,0.235,0.272,0.308,0.292,0.27,0.244
"Congo, Dem. Rep.",,,,,,,,,0.268,0.058,0.0604,0.136,0.0825,0.0782,,,,,,,,
Costa Rica,0.304,0.297,0.267,0.369,0.413,,,0.363,0.375,,0.429,0.358,0.388,0.52,0.485,0.468,0.556,0.556,0.572,0.486,0.458,
Croatia,,,,0.84,1.04,0.916,0.948,0.951,1.03,0.856,0.74,0.792,0.884,0.844,0.743,0.751,0.75,0.811,0.783,0.842,0.846,
Cuba,0.347,0.402,0.501,0.458,0.479,0.565,0.564,0.582,0.602,0.549,0.441,0.436,0.501,0.615,0.608,0.272,0.407,0.475,0.416,0.429,0.349,
Cyprus,,,0.201,0.216,0.223,0.233,0.275,0.318,0.334,0.362,0.377,0.398,0.386,0.444,0.447,0.456,0.438,0.482,0.508,0.481,0.502,
Czech Republic,0.894,0.994,1.07,1.05,1.11,1.1,1.1,1.15,1.15,1.17,1.23,1.3,1.24,1.29,1.34,1.56,1.78,1.9,1.97,1.93,1.68,
Denmark,1.81,1.89,2.01,2.13,,2.32,2.44,2.51,2.42,2.39,2.4,2.52,2.77,3.06,2.92,2.94,2.98,2.97,2.91,2.96,2.87,
Ecuador,0.0741,0.0626,0.0652,,,0.0515,0.0553,0.0573,,,0.129,0.132,0.228,0.395,0.403,0.34,0.332,0.38,0.443,,,
Egypt,0.213,0.198,0.199,0.187,0.192,,,,0.27,0.241,0.259,0.255,0.27,0.433,0.433,0.532,0.509,0.639,0.636,0.719,0.708,0.606
El Salvador,,,0.0882,,,,,,,,,0.106,0.134,0.0909,0.0781,0.0355,0.034,0.0639,0.0938,0.145,0.147,
Estonia,,,0.571,0.681,0.6,0.699,0.716,0.768,0.852,0.924,1.12,1.07,1.26,1.4,1.58,2.31,2.12,1.72,1.45,1.49,1.28,
Ethiopia,,,,,,,,,,0.179,,0.171,,,0.241,,,0.605,,,,
