country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.23,-2.88,1.05,12,20,16.9,15.5,19,18.8
Albania,,,,,,,,,,,,,,,27.8,28.4,28.2,26.1,23.7,26.8,18.8,-11.2,-11.5,7.41,2.63,16.1,15.8,5.43,16.8,14.6,25.2,28,24.9,25.6,28.7,29.5,28.2,23.3,17.6,17.6,20.2,20.5,19.8,17.4,15.8,16.7,16.4,16.6
Algeria,,,,,,,,36,37.4,39.8,42.2,39.7,38.1,38.7,31.9,30.2,22.7,22.4,18.4,18.4,25.1,34.7,,,,,,,,,,,,,,54.6,56.7,57.7,57.9,47.7,50,49,48.1,46.4,44.1,37.4,37.8,38.4
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,17.5,32.3,28.9,37.5,46.2,49.3,47,45.7,30.6,40.9,41.5,40.5,34.5,31.9,26.4,25.8,27.3
Argentina,,,,,,,34,32.8,30.4,25.4,23.2,20.4,19.5,19.7,18.6,,15.5,15.9,,14.9,16.8,14,13.9,16.5,15.9,16.8,17.5,17,16.5,14,14.8,14.6,22.5,22.6,15.5,15.5,22.1,22.8,21.7,18.9,17.9,17.8,16.6,15.5,16.2,14.6,14.4,13.8
Armenia,,,,,,,,,,,,,,,,,,,,,,,,-14.8,2.84,-4.95,1.74,3.77,0.814,2.75,2.71,9.09,13.8,19.3,21.4,26.3,30.1,29.9,29.1,16.5,15.7,14.1,12.3,13.6,12.8,17.6,16.3,17.5
Australia,,,,,,,,,,,,,,,,,,,,26.3,25.2,21.6,19,20.8,22.2,21.4,21.7,22.6,22.4,21.4,21.9,21.4,22.5,21.8,22.2,21.8,22.7,22.4,22.9,24.8,22.6,24.2,25,24.5,24.1,23,21.2,22.5
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1,26.7,28.2,28.5,24.8,25.6,26,25.7,25.4,26,25.9,26.9,27.5
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,0.445,13.8,6,9.51,17.4,21.6,20.9,24.9,27.6,44.2,50.8,52.7,55.7,43.6,47.6,50.2,46.9,45,41.9,28.6,23.6,29.6
Bahamas,,,,,,,,17.9,11.4,10.9,17.5,14.8,21.5,23.3,14.9,18.5,18.3,18.8,,20.7,20.1,15.4,19.9,17.8,17.1,28.1,32.3,29.5,28.4,34.4,33.3,29.4,32.8,31.7,33.2,30.4,27.2,28.4,26.9,25.8,24.2,21.4,22.6,23.4,21.7,20.8,23.7,16.8
Bahrain,,,,,,,,,,,56.1,54.7,49,46.3,43,39.6,28.5,29.3,33.2,22.7,17.5,14.9,11.9,12,17.3,18.8,18.7,17.6,9.09,7.66,30.7,20.7,25.4,30.8,37.2,37.5,43.1,48.8,45.6,31.9,33.4,32,31.2,28.4,23.3,25.5,25.8,30.5
Bangladesh,,,,,,,-0.842,10.1,5.72,7.09,8.32,20.8,23.1,22.4,15.8,21.2,22.3,22.1,21.7,21.9,22.6,22.1,21.5,20.3,21.7,21.5,22.6,23.7,25.1,25.9,26.9,27.6,29.6,29,30.3,31.5,33.5,34.1,34.7,36.1,35.9,35.3,37.4,36.8,35.4,34.5,35.1,33.8
Barbados,,,,,,,,,,,,,,,,,15.3,14.5,20.2,19.9,16.9,14.1,15.2,13.9,17.4,12.9,13.7,13,15.4,14.3,13.7,11.7,12.5,14.8,11.9,9.17,6.77,14.3,11.5,7.33,11.8,2.08,7.15,-0.409,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,25.6,20.1,20.6,19.9,22.7,22.4,22.4,24.5,21.7,20.7,22.8,27.1,27.9,29.7,29.4,30.9,26.6,29.3,32.4,31.9,29.4,28.3,30.1,27.8,29.7
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.4,26.4,26.5,27,27.9,26.3,22.4,25.4,23.8,24.1,22.9,22.9,23,23.7,25.2
Belize,,,,,,,,,,,,,,,48.5,46.2,50.2,51.6,48.7,49,52.3,48.6,18.6,19.5,14.7,16.1,12.5,11.6,9.14,9.3,14.5,6.05,4.89,3.11,4.62,8.82,17.1,15.5,17.7,13.7,11.6,14.3,13.9,12.1,12.7,14.5,10.9,10.5
Benin,,,,,11.1,10.2,11.2,13.6,10.5,12.6,4.18,-3.26,13.3,8.29,7.73,2.69,4.22,4.44,0.782,4.63,9.88,10.9,9.93,9.86,14.8,16.2,15.5,16.4,15.9,13.2,13.8,15.1,15.1,12.3,14.8,13,13.7,15.3,12.9,12,11.3,13,13.8,16.8,18.7,15.5,12.7,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,29,34.7,31.3,35.8,42.3,51.6,26.1,30.8,22.6,33.5,32.1
Bolivia,,,,,,,16.5,15,15.3,15.3,15.3,11.1,9.51,13.7,13,10.9,4.09,5.13,7.21,9.11,10.1,9.31,8.79,8.09,10.5,11.5,12.4,12.9,13.1,10.9,11.3,11.6,12.6,15,17.8,20.7,27.5,29.7,29.9,23.8,26.1,26.9,27.3,25.5,21.9,14.7,15.6,16.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,5.91,8.35,12.2,10.3,8.36,7.53,6.89,5.41,7.3,8.08,9.27,11.1,12.9
Botswana,,,,,,20.3,21.7,22.2,22.8,29.8,28.7,27.9,26.6,29.9,27.9,35.5,39.4,44,53.4,52,42.8,44.3,40.3,40.9,31,29.2,38.9,38.6,39.5,41.7,42,44.5,36.1,39.4,38.4,44.1,48.1,49.5,42.5,35,37.8,43.9,43.8,39.5,42.6,38,39.7,40.7
